,council_id,council_name,region_name,spend_year,spend_category,budget_GBP,actual_spend_GBP,variance_GBP,spend_per_capita_GBP,pct_budget_utilised,funding_source
SP-0212,LA024,Chelmsford City Council,East of England,2023,Waste Management,"£26,230,138","£28,761,300",2531162,159.52,109.6,Local Authority Budget
SP-0213,LA024,Chelmsford City Council,East of England,2019,Digital Infrastructure,29465125,27317500,-2147625,151.51,92.7,Local Authority Budget
SP-0214,LA024,Chelmsford City Council,East of England,2023,Energy & Utilities,6845445,5712500,-1132945,31.68,83.4,EU Structural Funds
SP-0215,LA024,Chelmsford City Council,East of England,2021,Energy & Utilities,5547314,4919200,-628114,27.28,88.7,Local Authority Budget
SP-0216,LA025,Colchester Borough Council,East of England,2019,Roads & Transport,43695054,41044200,-2650854,210.16,93.9,Private Finance Initiative
SP-0217,LA025,Colchester Borough Council,East of England ,2020,Roads & Transport,8817969,9005500,187531,46.11,102.1,Mixed Funding
SP-0218,LA025,Colchester Borough Council,East of England,2023,Housing & Planning,18635853,20726100,2090247,106.12,111.2,EU Structural Funds
SP-0219,LA025,Colchester Borough Council,East of England ,2020,Flood & Drainage,10350240,12836400,2486160,65.73,124,Central Government Grant
SP-0220,LA025,Colchester Borough Council,East of England,2020,Parks & Green Spaces,30530835,33813200,3282365,173.13,110.8,Local Authority Budget
SP-0221,LA025,Colchester Borough Council,East of England,2019,Waste Management,39281779,36230300,-3051479,185.51,92.2,Private Finance Initiative
SP-0222,LA025,Colchester Borough Council,East of England,2021,Digital Infrastructure,22086061,23770600,1684539,,107.6,Central Government Grant
SP-0223,LA025,Colchester Borough Council,East of England,2021,Energy & Utilities,23244191,29625100,6380909,151.69,127.5,Mixed Funding
SP-0224,LA026,Braintree District Council,East of England,2021,Roads & Transport,38921581,"£46,541,000",7619419,296.82,119.6,Mixed Funding
SP-0225,LA026,Braintree District Council,East of England ,2023,Housing & Planning,18839995,"£23,015,900",4175905,146.79,122.2,Private Finance Initiative
SP-0226,LA026,Braintree District Council,East of England,2020,Flood & Drainage,"£11,179,179","£10,517,300",-661879,,94.1,Local Authority Budget
SP-0227,LA026,Braintree District Council,East of England,2021,Parks & Green Spaces,25743207,17831600,-7911607,113.72,69.3,Local Authority Budget
SP-0228,LA026,Braintree District Council,East of England ,2023,Parks & Green Spaces,13832431,9890900,-3941531,63.08,71.5,Private Finance Initiative
SP-0229,LA026,Braintree District Council,East of England,2021,Waste Management,989730,1138800,149070,7.26,115.1,Local Authority Budget
SP-0230,LA026,Braintree District Council,East of England,2020,Digital Infrastructure,11587874,10546200,-1041674,67.26,91,EU Structural Funds
SP-0231,LA026,Braintree District Council,East of England,2021,Energy & Utilities,18468192,21136000,2667808,,114.4,City Deal
SP-0232,LA027,Basildon Borough Council,East Of England,2022,Roads & Transport,23828553,26132900,2304347,139.9,109.7,Combined Authority
SP-0233,LA027,Basildon Borough Council,Eastern England,2021,Roads & Transport,17356298,,-1122298,86.91,93.5,EU Structural Funds
SP-0234,LA027,Basildon Borough Council,East of England,2021,Housing & Planning,43937001,32613500,-11323501,174.59,74.2,Combined Authority
SP-0235,LA027,Basildon Borough Council,East of England ,2020,Flood & Drainage,26651902,"£25,331,300",-1320602,,,Combined Authority
SP-0236,LA027,Basildon Borough Council,East of England,2019,Parks & Green Spaces,4968051,5867500,,31.41,118.1,Mixed Funding
SP-0237,LA027,Basildon Borough Council,East of England,2021,Waste Management,"£43,510,982",42460600,-1050382,227.31,97.6,Levelling Up Fund
SP-0238,LA027,Basildon Borough Council,East of England,2019,Digital Infrastructure,41111004,50739100,9628096,,123.4,Combined Authority
SP-0239,LA027,Basildon Borough Council,East of England ,2022,Energy & Utilities,42292465,"£56,846,200",14553735,304.32,134.4,Local Authority Budget
SP-0240,LA028,Harlow District Council,East of England,2021,Roads & Transport,6574358,4840000,-1734358,,,Levelling Up Fund
SP-0241,LA028,Harlow District Council,East of England,2020,Housing & Planning,31349929,38563000,7213071,417.8,123,Local Authority Budget
SP-0242,LA028,Harlow District Council,East of England,2023,Flood & Drainage,32738300,,-5222900,298.11,84,Mixed Funding
SP-0243,LA028,Harlow District Council,East of England,2019,Flood & Drainage,3692589,3646200,,39.5,98.7,Local Authority Budget
SP-0244,LA028,Harlow District Council,East of England,2022,Parks & Green Spaces,31327780,33507600,2179820,363.03,107,Levelling Up Fund
SP-0245,LA028,Harlow District Council,East of England,2023,Waste Management,5134952,4715100,-419852,,91.8,EU Structural Funds
SP-0246,LA028,Harlow District Council,Eastern England,2023,Digital Infrastructure,32262033,35575500,3313467,385.43,110.3,City Deal
SP-0247,LA028,Harlow District Council,East of England,2023,Energy & Utilities,18042745,12527200,-5515545,135.72,69.4,Levelling Up Fund
SP-0248,LA028,Harlow District Council,East Of England,2021,Energy & Utilities,5677919,3724000,-1953919,40.35,65.6,Local Authority Budget
SP-0249,LA029,Stevenage Borough Council,East of England,2020,Roads & Transport,14984812,16124200,1139388,180.76,107.6,EU Structural Funds
SP-0250,LA029,Stevenage Borough Council,East of England,2019,Housing & Planning,35336630,34031200,,381.52,96.3,EU Structural Funds
SP-0251,LA029,Stevenage Borough Council,East of England,2023,Housing & Planning,17455414,21190900,3735486,237.57,121.4,City Deal
SP-0252,LA029,Stevenage Borough Council,East of England,2019,Flood & Drainage,31429746,23243800,-8185946,260.58,74,Local Authority Budget
SP-0253,LA029,Stevenage Borough Council,East of England,2019,Parks & Green Spaces,36951182,39725200,2774018,445.35,107.5,City Deal
SP-0254,LA029,Stevenage Borough Council,Eastern England,2023,Waste Management,"£37,975,408","£49,423,300",11447892,554.07,130.1,Levelling Up Fund
SP-0255,LA029,Stevenage Borough Council,East of England,2020,Digital Infrastructure,4521290,5929200,1407910,66.47,131.1,Combined Authority
SP-0256,LA029,Stevenage Borough Council,East of England,2021,Energy & Utilities,39522248,50675600,11153352,568.11,128.2,Combined Authority
SP-0257,LA029,Stevenage Borough Council,East of England,2022,Energy & Utilities,43578673,,,516.07,105.6,Central Government Grant
SP-0258,LA030,Watford Borough Council,East of England,2022,Roads & Transport,32450584,"£42,910,400",10459816,443.29,132.2,City Deal
SP-0259,LA030,Watford Borough Council,East of England,2019,Housing & Planning,30973341,"£27,057,500",-3915841,279.52,87.4,Combined Authority
SP-0260,LA030,Watford Borough Council,East of England,2021,Flood & Drainage,33249935,"£44,091,200",,455.49,132.6,Levelling Up Fund
SP-0261,LA030,Watford Borough Council,East of England,2020,Flood & Drainage,5622052,4718500,-903552,48.74,,Private Finance Initiative
SP-0262,LA030,Watford Borough Council,East of England,2023,Parks & Green Spaces,44293319,48825200,4531881,504.39,110.2,Combined Authority
SP-0263,LA030,Watford Borough Council,East of England,2022,Waste Management,29982585,36940600,6958015,381.62,123.2,Levelling Up Fund
SP-0264,LA030,Watford Borough Council,East of England,2022,Digital Infrastructure,"£7,001,966",,-963766,62.38,86.2,Combined Authority
SP-0265,LA030,Watford Borough Council,East of England,2020,Energy & Utilities,22592970,16976400,-5616570,175.38,75.1,City Deal
SP-0266,LA031,St Albans City and District Council,East of England,2023,Roads & Transport,28114402,34775300,6660898,234.02,123.7,Mixed Funding
SP-0267,LA031,St Albans City and District Council,East of England,2021,Housing & Planning,28620687,30987900,2367213,208.53,108.3,Mixed Funding
SP-0268,LA031,St Albans City and District Council,East Of England,2023,Housing & Planning,11138731,12409000,1270269,83.51,111.4,Local Authority Budget
SP-0269,LA031,St Albans City and District Council,Eastern England,2019,Flood & Drainage,38334348,28584300,-9750048,192.36,74.6,Levelling Up Fund
SP-0270,LA031,St Albans City and District Council,East of England,2022,Flood & Drainage,4724899,5597000,872101,37.66,118.5,Levelling Up Fund
SP-0271,LA031,St Albans City and District Council,East of England,2019,Parks & Green Spaces,20250448,15793100,-4457348,106.28,78,City Deal
SP-0272,LA031,St Albans City and District Council,East of England,2023,Waste Management,13501433,13169200,,88.62,97.5,Local Authority Budget
SP-0273,LA031,St Albans City and District Council,East of England,2019,Digital Infrastructure,36467783,27081900,-9385883,182.25,74.3,Private Finance Initiative
SP-0274,LA031,St Albans City and District Council,East of England,2023,Energy & Utilities,5743422,4146400,-1597022,27.9,72.2,Local Authority Budget
SP-0275,LA032,Hertsmere Borough Council,East of England,2023,Roads & Transport,37752362,39965400,2213038,378.82,105.9,Combined Authority
SP-0276,LA032,Hertsmere Borough Council,East of England,2019,Housing & Planning,5445144,5492100,46956,52.06,100.9,Combined Authority
SP-0277,LA032,Hertsmere Borough Council,East of England,2020,Flood & Drainage,29933956,22393600,-7540356,212.26,74.8,Mixed Funding
SP-0278,LA032,Hertsmere Borough Council,East of England,2021,Flood & Drainage,34672420,24817100,,235.23,71.6,Levelling Up Fund
SP-0279,LA032,Hertsmere Borough Council,East of England,2019,Parks & Green Spaces,"£41,882,448",53781100,11898652,509.77,128.4,Levelling Up Fund
SP-0280,LA032,Hertsmere Borough Council,East of England,2020,Waste Management,"£12,424,622","£11,314,400",-1110222,107.25,91.1,Levelling Up Fund
SP-0281,LA032,Hertsmere Borough Council,Eastern England,2020,Digital Infrastructure,3235081,3182100,-52981,30.16,,Combined Authority
SP-0282,LA032,Hertsmere Borough Council,East of England,2019,Energy & Utilities,4335939,,113861,,102.6,City Deal
SP-0283,LA033,City of London Corporation,London,2021,Roads & Transport,"£31,943,958",42204200,10260242,4489.81,132.1,City Deal
SP-0284,LA033,City of London Corporation,London ,2023,Housing & Planning,10195569,12716600,2521031,1352.83,124.7,Levelling Up Fund
SP-0285,LA033,City of London Corporation,London,2022,Housing & Planning,27141889,22154000,-4987889,,81.6,Levelling Up Fund
SP-0286,LA033,City of London Corporation,London,2021,Flood & Drainage,6193221,7653700,1460479,814.22,123.6,City Deal
SP-0287,LA033,City of London Corporation,London,2022,Flood & Drainage,12998619,13471300,472681,,103.6,Local Authority Budget
SP-0288,LA033,City of London Corporation,London,2021,Parks & Green Spaces,27926708,28980400,1053692,3083.02,103.8,City Deal
SP-0289,LA033,City of London Corporation,London,2021,Waste Management,25386200,25765100,378900,2740.97,101.5,Mixed Funding
SP-0290,LA033,City of London Corporation,Greater London,2023,Digital Infrastructure,29885121,38288700,8403579,4073.27,,Levelling Up Fund
SP-0291,LA033,City of London Corporation,London,2019,Energy & Utilities,25340880,24586000,-754880,2615.53,97,Local Authority Budget
SP-0292,LA034,London Borough of Camden,London,2023,Roads & Transport,1789226,,,4.99,73.3,City Deal
SP-0293,LA034,London Borough of Camden,LONDON,2021,Housing & Planning,"£30,199,360",31885600,1686240,121.19,105.6,Mixed Funding
SP-0294,LA034,London Borough of Camden,London,2023,Housing & Planning,5790161,5304900,-485261,20.16,91.6,Local Authority Budget
SP-0295,LA034,London Borough of Camden,LONDON,2019,Flood & Drainage,9506538,6474200,-3032338,24.61,68.1,Combined Authority
SP-0296,LA034,London Borough of Camden,London,2022,Parks & Green Spaces,5656346,4624600,-1031746,17.58,81.8,EU Structural Funds
SP-0297,LA034,London Borough of Camden,Greater London,2023,Parks & Green Spaces,42784995,46816800,4031805,177.94,109.4,Central Government Grant
SP-0298,LA034,London Borough of Camden,London,2020,Waste Management,21173895,25900800,4726905,98.44,122.3,Private Finance Initiative
SP-0299,LA034,London Borough of Camden,LONDON,2022,Digital Infrastructure,23697012,27611900,3914888,104.95,,EU Structural Funds
SP-0300,LA034,London Borough of Camden,Greater London,2023,Energy & Utilities,23394652,28270000,4875348,107.45,120.8,EU Structural Funds
SP-0301,LA035,London Borough of Hackney,London,2023,Roads & Transport,16119927,20637600,4517673,,128,Central Government Grant
SP-0302,LA035,London Borough of Hackney,London,2020,Housing & Planning,22157388,"£28,822,800",6665412,102.43,130.1,City Deal
SP-0303,LA035,London Borough of Hackney,London,2020,Flood & Drainage,886561,"£926,400",39839,3.29,104.5,Central Government Grant
SP-0304,LA035,London Borough of Hackney,London,2022,Parks & Green Spaces,1983863,1907000,-76863,6.78,96.1,Local Authority Budget
SP-0305,LA035,London Borough of Hackney,London,2023,Waste Management,"£9,681,338",11635600,1954262,41.35,120.2,Combined Authority
SP-0306,LA035,London Borough of Hackney,London,2019,Digital Infrastructure,21143617,"£16,474,200",-4669417,58.54,77.9,Levelling Up Fund
SP-0307,LA035,London Borough of Hackney,London,2023,Digital Infrastructure,8521027,8886400,365373,31.58,,EU Structural Funds
SP-0308,LA035,London Borough of Hackney,Greater London,2019,Energy & Utilities,"£23,627,621",28169900,4542279,100.11,119.2,Private Finance Initiative
SP-0309,LA036,London Borough of Tower Hamlets,London,2020,Roads & Transport,2479088,,434712,8.97,117.5,Combined Authority
SP-0310,LA036,London Borough of Tower Hamlets,London,2019,Roads & Transport,19662874,14450400,-5212474,44.49,73.5,Private Finance Initiative
SP-0311,LA036,London Borough of Tower Hamlets,London,2022,Housing & Planning,8367493,8223700,-143793,25.32,98.3,Central Government Grant
SP-0312,LA036,London Borough of Tower Hamlets,London,2021,Flood & Drainage,34954006,"£35,841,200",887194,110.35,102.5,Combined Authority
SP-0313,LA036,London Borough of Tower Hamlets,London,2022,Parks & Green Spaces,"£25,555,408",,5733292,96.33,122.4,City Deal
SP-0314,LA036,London Borough of Tower Hamlets,London,2020,Waste Management,"£34,136,829",33719700,-417129,103.82,98.8,Local Authority Budget
SP-0315,LA036,London Borough of Tower Hamlets,London,2020,Digital Infrastructure,12471863,11884600,-587263,36.59,95.3,Local Authority Budget
SP-0316,LA036,London Borough of Tower Hamlets,LONDON,2019,Energy & Utilities,28988323,"£23,061,400",-5926923,71,79.6,Local Authority Budget
SP-0317,LA037,London Borough of Newham,London,2021,Roads & Transport,31315461,"£29,065,500",-2249961,,,Central Government Grant
SP-0318,LA037,London Borough of Newham,LONDON,2019,Housing & Planning,44196636,,1344564,118.6,103,Combined Authority
SP-0319,LA037,London Borough of Newham,London,2023,Housing & Planning,7809934,"£6,786,700",-1023234,17.67,86.9,EU Structural Funds
SP-0320,LA037,London Borough of Newham,London,2019,Flood & Drainage,32107930,31849300,-258630,82.94,99.2,Local Authority Budget
SP-0321,LA037,London Borough of Newham,Greater London,2023,Parks & Green Spaces,"£17,561,532",23424600,,61,133.4,Central Government Grant
SP-0322,LA037,London Borough of Newham,London,2020,Waste Management,20494029,16618400,-3875629,43.28,81.1,Mixed Funding
SP-0323,LA037,London Borough of Newham,London,2021,Digital Infrastructure,"£25,571,951",34236800,8664849,89.16,133.9,Combined Authority
SP-0324,LA037,London Borough of Newham,London,2020,Digital Infrastructure,25849347,23217100,-2632247,60.46,89.8,Local Authority Budget
SP-0325,LA037,London Borough of Newham,London,2023,Energy & Utilities,29634073,,-9192173,53.23,69,Private Finance Initiative
SP-0326,LA037,London Borough of Newham,London,2019,Energy & Utilities,21823663,,3109237,64.93,114.2,Private Finance Initiative
SP-0327,LA038,London Borough of Islington,London ,2021,Roads & Transport,"£42,619,508",47876200,5256692,194.78,112.3,Mixed Funding
SP-0328,LA038,London Borough of Islington,London,2023,Housing & Planning,6908926,5755300,-1153626,23.41,83.3,Local Authority Budget
SP-0329,LA038,London Borough of Islington,London,2021,Flood & Drainage,38482308,44234300,5751992,179.96,,Mixed Funding
SP-0330,LA038,London Borough of Islington,Greater London,2019,Parks & Green Spaces,16617382,15306900,-1310482,62.27,92.1,Mixed Funding
SP-0331,LA038,London Borough of Islington,Greater London,2020,Waste Management,12628130,15760000,3131870,64.12,124.8,Combined Authority
SP-0332,LA038,London Borough of Islington,London,2023,Digital Infrastructure,18989973,19183100,193127,78.04,101,Private Finance Initiative
SP-0333,LA038,London Borough of Islington,Greater London,2019,Digital Infrastructure,"£25,631,286",,66114,104.55,100.3,Mixed Funding
SP-0334,LA038,London Borough of Islington,London,2019,Energy & Utilities,36996973,26090000,-10906973,106.14,70.5,Combined Authority
SP-0335,LA039,London Borough of Southwark,London,2021,Roads & Transport,10426415,8249000,-2177415,26.01,79.1,Central Government Grant
SP-0336,LA039,London Borough of Southwark,London,2022,Housing & Planning,44674912,31873400,,100.48,71.3,EU Structural Funds
SP-0337,LA039,London Borough of Southwark,Greater London,2019,Flood & Drainage,11347762,14912800,3565038,47.01,131.4,Combined Authority
SP-0338,LA039,London Borough of Southwark,London,2022,Parks & Green Spaces,30126483,23694000,-6432483,74.7,78.6,Private Finance Initiative
SP-0339,LA039,London Borough of Southwark,London,2020,Parks & Green Spaces,30941898,30062500,-879398,94.77,97.2,EU Structural Funds
SP-0340,LA039,London Borough of Southwark,London,2021,Waste Management,26464178,,-4875878,68.06,81.6,City Deal
SP-0341,LA039,London Borough of Southwark,London,2023,Digital Infrastructure,22358340,"£16,295,200",-6063140,51.37,,City Deal
SP-0342,LA039,London Borough of Southwark,London,2019,Energy & Utilities,30103915,30286200,182285,95.48,100.6,Local Authority Budget
SP-0343,LA039,London Borough of Southwark,London,2021,Energy & Utilities,40877650,"£37,262,600",-3615050,117.47,,Combined Authority
SP-0344,LA040,London Borough of Lambeth,London,2021,Roads & Transport,5702207,3989000,-1713207,11.99,70,Mixed Funding
SP-0345,LA040,London Borough of Lambeth,London,2021,Housing & Planning,"£20,226,111",20352700,126589,61.17,100.6,Private Finance Initiative
SP-0346,LA040,London Borough of Lambeth,LONDON,2020,Housing & Planning,36168293,31186100,-4982193,93.74,86.2,Private Finance Initiative
SP-0347,LA040,London Borough of Lambeth,London,2019,Flood & Drainage,14990668,11854500,,35.63,79.1,EU Structural Funds
SP-0348,LA040,London Borough of Lambeth,London,2021,Parks & Green Spaces,33777075,"£30,549,600",-3227475,91.82,90.4,Private Finance Initiative
SP-0349,LA040,London Borough of Lambeth,London,2022,Waste Management,15372752,18670000,3297248,56.12,121.4,Combined Authority
SP-0350,LA040,London Borough of Lambeth,London,2021,Digital Infrastructure,39818031,34532800,-5285231,103.8,86.7,Levelling Up Fund
SP-0351,LA040,London Borough of Lambeth,London,2020,Digital Infrastructure,13440318,13136100,-304218,39.48,97.7,Mixed Funding
SP-0352,LA040,London Borough of Lambeth,London ,2021,Energy & Utilities,12180609,8183400,-3997209,24.6,,Mixed Funding
SP-0353,LA041,London Borough of Lewisham,London,2023,Roads & Transport,7791040,5728200,-2062840,18.85,73.5,Private Finance Initiative
SP-0354,LA041,London Borough of Lewisham,London,2019,Housing & Planning,43082013,"£34,361,300",-8720713,113.07,79.8,Mixed Funding
SP-0355,LA041,London Borough of Lewisham,London,2022,Flood & Drainage,37568052,40664000,3095948,133.81,108.2,Mixed Funding
SP-0356,LA041,London Borough of Lewisham,London,2020,Parks & Green Spaces,7369865,9867300,2497435,32.47,133.9,Combined Authority
SP-0357,LA041,London Borough of Lewisham,London,2020,Waste Management,31470056,30994200,-475856,,98.5,Combined Authority
SP-0358,LA041,London Borough of Lewisham,London,2020,Digital Infrastructure,26291881,"£27,051,900",760019,89.02,102.9,Private Finance Initiative
SP-0359,LA041,London Borough of Lewisham,LONDON,2023,Energy & Utilities,28999117,29823800,824683,98.14,102.8,Mixed Funding
SP-0360,LA042,London Borough of Greenwich,London ,2020,Roads & Transport,12112658,13072600,959942,,,Local Authority Budget
SP-0361,LA042,London Borough of Greenwich,London,2019,Housing & Planning,18020404,15746800,-2273604,,87.4,EU Structural Funds
SP-0362,LA042,London Borough of Greenwich,London,2023,Housing & Planning,"£17,962,427",,-2687127,52.51,85,City Deal
SP-0363,LA042,London Borough of Greenwich,London,2019,Flood & Drainage,"£42,673,698",31962000,,109.87,74.9,Levelling Up Fund
SP-0364,LA042,London Borough of Greenwich,Greater London,2020,Parks & Green Spaces,15835545,13214200,-2621345,45.43,83.4,Central Government Grant
SP-0365,LA042,London Borough of Greenwich,London,2022,Waste Management,14046284,14899500,853216,51.22,106.1,Local Authority Budget
SP-0366,LA042,London Borough of Greenwich,LONDON,2019,Digital Infrastructure,"£38,603,389",32455000,-6148389,111.57,84.1,Private Finance Initiative
SP-0367,LA042,London Borough of Greenwich,London,2020,Energy & Utilities,27960048,26093900,,89.7,93.3,Combined Authority
SP-0368,LA042,London Borough of Greenwich,London,2023,Energy & Utilities,27779140,19489300,-8289840,67,70.2,Local Authority Budget
SP-0369,LA043,London Borough of Brent,London,2020,Roads & Transport,30100791,,-9070991,62.55,,Levelling Up Fund
SP-0370,LA043,London Borough of Brent,London,2020,Housing & Planning,9502085,"£9,817,000",314915,29.2,103.3,Combined Authority
SP-0371,LA043,London Borough of Brent,London,2021,Housing & Planning,8091856,,2586344,31.76,132,EU Structural Funds
SP-0372,LA043,London Borough of Brent,London,2023,Flood & Drainage,8778547,10500800,1722253,31.23,119.6,Local Authority Budget
SP-0373,LA043,London Borough of Brent,London,2019,Flood & Drainage,30897828,33314900,2417072,99.09,107.8,Combined Authority
SP-0374,LA043,London Borough of Brent,London,2019,Parks & Green Spaces,25400113,20800300,-4599813,61.87,81.9,EU Structural Funds
SP-0375,LA043,London Borough of Brent,London,2020,Parks & Green Spaces,44218379,58307300,14088921,173.43,131.9,Local Authority Budget
SP-0376,LA043,London Borough of Brent,London,2019,Waste Management,9569161,6967500,-2601661,20.72,72.8,Central Government Grant
SP-0377,LA043,London Borough of Brent,London,2021,Digital Infrastructure,9818773,10707200,888427,31.85,,Local Authority Budget
SP-0378,LA043,London Borough of Brent,London,2021,Energy & Utilities,16658051,,-747251,47.33,95.5,Levelling Up Fund
SP-0379,LA043,London Borough of Brent,London,2023,Energy & Utilities,20111246,"£26,689,000",,79.38,132.7,Local Authority Budget
SP-0380,LA044,London Borough of Harrow,London,2021,Roads & Transport,"£32,487,114","£22,437,900",,89.68,69.1,EU Structural Funds
SP-0381,LA044,London Borough of Harrow,Greater London,2023,Housing & Planning,22007648,29327300,7319652,117.22,133.3,Local Authority Budget
SP-0382,LA044,London Borough of Harrow,London,2020,Flood & Drainage,16317839,"£21,811,300",5493461,87.18,133.7,Levelling Up Fund
SP-0383,LA044,London Borough of Harrow,London,2019,Flood & Drainage,16288215,13185300,-3102915,52.7,80.9,EU Structural Funds
SP-0384,LA044,London Borough of Harrow,London,2020,Parks & Green Spaces,17149453,"£20,787,100",3637647,83.08,121.2,Private Finance Initiative
SP-0385,LA044,London Borough of Harrow,London,2021,Waste Management,39100973,29557500,-9543473,118.14,75.6,Combined Authority
SP-0386,LA044,London Borough of Harrow,London,2021,Digital Infrastructure,25159605,30603600,5443995,122.32,121.6,Combined Authority
SP-0387,LA044,London Borough of Harrow,London ,2022,Energy & Utilities,"£9,066,183",10324100,,41.26,113.9,Mixed Funding
SP-0388,LA045,London Borough of Enfield,London,2022,Roads & Transport,36028673,35943200,-85473,107.66,99.8,EU Structural Funds
SP-0389,LA045,London Borough of Enfield,London,2022,Housing & Planning,9828663,7262400,-2566263,21.75,,Private Finance Initiative
SP-0390,LA045,London Borough of Enfield,London ,2020,Flood & Drainage,20728718,17335500,,,83.6,Levelling Up Fund
SP-0391,LA045,London Borough of Enfield,London,2023,Flood & Drainage,16976768,"£18,352,900",1376132,54.97,108.1,Central Government Grant
SP-0392,LA045,London Borough of Enfield,London,2022,Parks & Green Spaces,38927268,27674600,-11252668,82.89,71.1,Central Government Grant
SP-0393,LA045,London Borough of Enfield,London,2022,Waste Management,33363427,,,121.23,121.3,EU Structural Funds
SP-0394,LA045,London Borough of Enfield,London,2021,Digital Infrastructure,12913113,,-1527413,34.1,88.2,Mixed Funding
SP-0395,LA045,London Borough of Enfield,London,2021,Energy & Utilities,26099478,21499800,,64.4,,Levelling Up Fund
SP-0396,LA046,Royal Borough of Kingston upon Thames,London,2021,ROADS & TRANSPORT,40250420,40032700,-217720,227.72,99.5,Local Authority Budget
SP-0397,LA046,Royal Borough of Kingston upon Thames,London,2020,Housing & Planning,"£20,212,760",25534300,5321540,145.25,126.3,Levelling Up Fund
SP-0398,LA046,Royal Borough of Kingston upon Thames,London,2019,Flood & Drainage,35042378,30889600,-4152778,175.71,,Combined Authority
SP-0399,LA046,Royal Borough of Kingston upon Thames,London,2020,Flood & Drainage,32213162,,5035438,,115.6,Combined Authority
SP-0400,LA046,Royal Borough of Kingston upon Thames,London,2021,Parks & Green Spaces,28100894,29220600,1119706,166.22,104,Levelling Up Fund
SP-0401,LA046,Royal Borough of Kingston upon Thames,London,2022,Parks & Green Spaces,40564177,51665000,11100823,293.89,127.4,EU Structural Funds
SP-0402,LA046,Royal Borough of Kingston upon Thames,London,2021,Waste Management,44322297,51295600,,291.78,115.7,Combined Authority
SP-0403,LA046,Royal Borough of Kingston upon Thames,London,2022,Waste Management,23027551,30908400,7880849,,134.2,Local Authority Budget
SP-0404,LA046,Royal Borough of Kingston upon Thames,London,2019,Digital Infrastructure,11829896,"£8,421,200",-3408696,47.9,71.2,Levelling Up Fund
SP-0405,LA046,Royal Borough of Kingston upon Thames,London,2022,Energy & Utilities,3946432,4074800,128368,,,Mixed Funding
SP-0406,LA047,London Borough of Richmond upon Thames,London,2019,Roads & Transport,19300752,"£15,691,100",-3609652,79.13,81.3,Levelling Up Fund
SP-0407,LA047,London Borough of Richmond upon Thames,London,2019,Housing & Planning,34844141,,4911059,200.48,114.1,Local Authority Budget
SP-0408,LA047,London Borough of Richmond upon Thames,London,2023,Flood & Drainage,6547794,,-2284194,21.5,65.1,Private Finance Initiative
SP-0409,LA047,London Borough of Richmond upon Thames,London,2021,Parks & Green Spaces,37239360,"£31,076,000",-6163360,156.71,83.4,Local Authority Budget
SP-0410,LA047,London Borough of Richmond upon Thames,London,2020,Waste Management,28086822,35022000,6935178,176.61,124.7,Levelling Up Fund
SP-0411,LA047,London Borough of Richmond upon Thames,London,2022,Waste Management,14516277,"£15,918,100",1401823,80.27,109.7,EU Structural Funds
SP-0412,LA047,London Borough of Richmond upon Thames,LONDON,2021,Digital Infrastructure,"£15,117,635",19203800,,96.84,127,Local Authority Budget
SP-0413,LA047,London Borough of Richmond upon Thames,London,2020,ENERGY & UTILITIES,36754212,42965300,6211088,216.67,116.9,Central Government Grant
SP-0414,LA048,London Borough of Merton,London,2022,Roads & Transport,27305904,21644300,-5661604,104.61,79.3,Levelling Up Fund
SP-0415,LA048,London Borough of Merton,London,2021,Housing & Planning,18526007,"£24,942,700",6416693,120.55,134.6,Central Government Grant
SP-0416,LA048,London Borough of Merton,London,2022,Flood & Drainage,40802617,48288100,7485483,233.39,118.3,City Deal
SP-0417,LA048,London Borough of Merton,Greater London,2022,Parks & Green Spaces,39407462,37581100,-1826362,181.64,,EU Structural Funds
SP-0418,LA048,London Borough of Merton,Greater London,2023,Waste Management,26545551,"£35,351,900",8806349,170.86,133.2,City Deal
SP-0419,LA048,London Borough of Merton,London,2019,Digital Infrastructure,38976677,49543700,,239.46,127.1,Mixed Funding
SP-0420,LA048,London Borough of Merton,London,2020,Energy & Utilities,7181348,6029300,-1152048,29.14,84,City Deal
SP-0421,LA049,Newcastle upon Tyne City Council,North East,2023,Roads & Transport,16448829,,4798371,70.16,,City Deal
SP-0422,LA049,Newcastle upon Tyne City Council,North East,2023,Housing & Planning,43228667,57648000,14419333,190.37,133.4,Mixed Funding
SP-0423,LA049,Newcastle upon Tyne City Council,NE England,2020,Flood & Drainage,32525970,37407200,4881230,123.53,115,Local Authority Budget
SP-0424,LA049,Newcastle upon Tyne City Council,North East,2019,Parks & Green Spaces,12397230,11914100,-483130,39.34,96.1,Combined Authority
SP-0425,LA049,Newcastle upon Tyne City Council,North East,2019,Waste Management,24764171,17193300,-7570871,56.78,69.4,Levelling Up Fund
SP-0426,LA049,Newcastle upon Tyne City Council,North East,2021,Waste Management,11926927,13045500,1118573,43.08,109.4,Mixed Funding
SP-0427,LA049,Newcastle upon Tyne City Council,North East,2020,Digital Infrastructure,29738185,34299200,4561015,113.27,115.3,Private Finance Initiative
SP-0428,LA049,Newcastle upon Tyne City Council,North East,2020,Energy & Utilities,"£40,226,502","£31,198,600",-9027902,,,Levelling Up Fund
SP-0429,LA050,Sunderland City Council,North East,2023,Roads & Transport,"£11,830,984",,2644316,50.14,122.4,Private Finance Initiative
