spend_id,council_id,council_name,region_name,spend_year,spend_category,budget_GBP,actual_spend_GBP,variance_GBP,pct_budget_utilised,spend_per_capita_GBP,funding_source
SP-0570,LA065,Rochdale Metropolitan Borough Council,North West,2023,Waste Management,2148927,2021100,-127827,94.1,9.15,Combined Authority
SP-0571,LA065,Rochdale Metropolitan Borough Council,North West,2022,Digital Infrastructure,11906589,14213000,2306411,119.4,64.31,Mixed Funding
SP-0572,LA065,Rochdale Metropolitan Borough Council,North West,2023,Energy & Utilities,27172390,31848500,4676110,117.2,144.11,Levelling Up Fund
SP-0752,LA086,Medway Council,South East,2023,Roads & Transport,5375991,6706300,1330309,124.7,24.07,City Deal
SP-0753,LA086,Medway Council,South East,2021,Housing & Planning,38581368,46216200,7634832,119.8,165.89,Levelling Up Fund
SP-0754,LA086,Medway Council,South East,2022,Flood & Drainage,32884126,33803000,918874,102.8,121.33,Levelling Up Fund
SP-0755,LA086,Medway Council,South East,2022,Parks & Green Spaces,30389305,33856500,3467195,111.4,121.52,Local Authority Budget
SP-0756,LA086,Medway Council,South East,2020,Parks & Green Spaces,6457491,4259600,-2197891,66,15.29,Mixed Funding
SP-0757,LA086,Medway Council,South East,2021,Waste Management,43980978,48642800,4661822,110.6,174.6,City Deal
SP-0758,LA086,Medway Council,South East,2020,Digital Infrastructure,26891599,22478500,-4413099,83.6,80.68,EU Structural Funds
SP-0759,LA086,Medway Council,South East,2022,Energy & Utilities,6486149,6090100,-396049,93.9,21.86,Mixed Funding
SP-0760,LA086,Medway Council,South East,2023,Energy & Utilities,14299982,11954600,-2345382,83.6,42.91,EU Structural Funds
SP-0761,LA087,Thanet District Council,South East,2022,Roads & Transport,10023585,13223900,3200315,131.9,94.86,Central Government Grant
SP-0762,LA087,Thanet District Council,South East,2023,Housing & Planning,22823236,19199200,-3624036,84.1,137.73,Levelling Up Fund
SP-0763,LA087,Thanet District Council,South East,2020,Flood & Drainage,23334855,18617700,-4717155,79.8,133.56,Levelling Up Fund
SP-0764,LA087,Thanet District Council,South East,2021,Flood & Drainage,24282741,17970900,-6311841,74,128.92,Central Government Grant
SP-0765,LA087,Thanet District Council,South East,2019,Parks & Green Spaces,26918491,25104400,-1814091,93.3,180.09,Mixed Funding
SP-0766,LA087,Thanet District Council,South East,2019,Waste Management,1879509,1784500,-95009,94.9,12.8,Central Government Grant
SP-0767,LA087,Thanet District Council,South East,2020,Waste Management,32989639,31936400,-1053239,96.8,229.1,Private Finance Initiative
SP-0768,LA087,Thanet District Council,South East,2023,Digital Infrastructure,13503578,17288300,3784722,128,124.02,Combined Authority
SP-0769,LA087,Thanet District Council,South East,2020,Energy & Utilities,21520068,23121200,1601132,107.4,165.86,Levelling Up Fund
SP-0803,LA091,Worthing Borough Council,South East,2021,Energy & Utilities,6762432,6148200,-614232,90.9,55.99,Combined Authority
SP-0795,LA091,Worthing Borough Council,South East,2020,Roads & Transport,43874509,44692700,818191,101.9,407.04,Combined Authority
SP-0796,LA091,Worthing Borough Council,South East,2021,Housing & Planning,8912526,6385200,-2527326,71.6,58.15,EU Structural Funds
SP-0797,LA091,Worthing Borough Council,South East,2020,Housing & Planning,30138610,38855000,8716390,128.9,353.87,Local Authority Budget
SP-0798,LA091,Worthing Borough Council,South East,2021,Flood & Drainage,8081916,9157500,1075584,113.3,83.4,Combined Authority
SP-0799,LA091,Worthing Borough Council,South East,2021,Parks & Green Spaces,21109336,22056900,947564,104.5,200.88,Combined Authority
SP-0800,LA091,Worthing Borough Council,South East,2020,Waste Management,27624848,30563100,2938252,110.6,278.35,City Deal
SP-0801,LA091,Worthing Borough Council,South East,2023,Waste Management,40973329,49570200,8596871,121,451.46,Levelling Up Fund
SP-0802,LA091,Worthing Borough Council,South East,2022,Digital Infrastructure,2639256,3097700,458444,117.4,28.21,Private Finance Initiative
SP-0839,LA096,Gloucester City Council,South West,2020,Roads & Transport,5484462,3802100,-1682362,69.3,29.29,City Deal
SP-0840,LA096,Gloucester City Council,South West,2023,Roads & Transport,14006781,10178100,-3828681,72.7,78.41,Combined Authority
SP-0841,LA096,Gloucester City Council,South West,2019,Housing & Planning,43368110,32425600,-10942510,74.8,249.81,Private Finance Initiative
SP-0842,LA096,Gloucester City Council,South West,2022,Flood & Drainage,3935256,4895800,960544,124.4,37.72,City Deal
SP-0843,LA096,Gloucester City Council,South West,2021,Parks & Green Spaces,21318745,18537600,-2781145,87,142.82,Central Government Grant
SP-0844,LA096,Gloucester City Council,South West,2020,Waste Management,19207244,21986900,2779656,114.5,169.39,Combined Authority
SP-0845,LA096,Gloucester City Council,South West,2023,Digital Infrastructure,41437218,46772000,5334782,112.9,360.34,Local Authority Budget
SP-0846,LA096,Gloucester City Council,South West,2023,Energy & Utilities,35778361,33192900,-2585461,92.8,255.72,Mixed Funding
SP-0847,LA097,Cheltenham Borough Council,South West,2023,Roads & Transport,33880264,25871700,-8008564,76.4,215.78,Local Authority Budget
SP-0848,LA097,Cheltenham Borough Council,South West,2019,Housing & Planning,40440387,30450100,-9990287,75.3,253.96,Local Authority Budget
SP-0849,LA097,Cheltenham Borough Council,South West,2019,Flood & Drainage,44837564,36725400,-8112164,81.9,306.3,Local Authority Budget
SP-0850,LA097,Cheltenham Borough Council,South West,2019,Parks & Green Spaces,43500426,38133300,-5367126,87.7,318.04,Levelling Up Fund
SP-0851,LA097,Cheltenham Borough Council,South West,2023,Waste Management,15405817,16770700,1364883,108.9,139.87,Levelling Up Fund
SP-0852,LA097,Cheltenham Borough Council,South West,2022,Waste Management,43427104,37335400,-6091704,86,311.39,Mixed Funding
SP-0853,LA097,Cheltenham Borough Council,South West,2019,Digital Infrastructure,23666899,20176300,-3490599,85.3,168.28,Local Authority Budget
SP-0854,LA097,Cheltenham Borough Council,South West,2021,Energy & Utilities,30074814,30435711.77,360897.77,101.2,253.87,Central Government Grant
SP-0905,LA104,Somerset West and Taunton Council,South West,2020,Roads & Transport,19153263,17037600,-2115663,89,106.48,Central Government Grant
SP-0906,LA104,Somerset West and Taunton Council,South West,2022,Housing & Planning,44405883,45291300,885417,102,283.07,Private Finance Initiative
SP-0907,LA104,Somerset West and Taunton Council,South West,2019,Flood & Drainage,20475903,22937800,2461897,112,143.36,Levelling Up Fund
SP-0908,LA104,Somerset West and Taunton Council,South West,2020,Parks & Green Spaces,44119784,51210200,7090416,116.1,320.06,Combined Authority
SP-0909,LA104,Somerset West and Taunton Council,South West,2023,Waste Management,10281338,11690200,1408862,113.7,73.06,City Deal
SP-0910,LA104,Somerset West and Taunton Council,South West,2019,Digital Infrastructure,38370715,34331400,-4039315,89.5,214.57,Combined Authority
SP-0911,LA104,Somerset West and Taunton Council,South West,2022,Digital Infrastructure,15181552,16566300,1384748,109.1,103.54,EU Structural Funds
SP-0021,LA003,Leicester City Council,East Midlands,2021,Roads & Transport,44084829,49058300,4973471,111.3,133.1,City Deal
SP-0022,LA003,Leicester City Council,East Midlands,2021,Housing & Planning,3641570,4306700,665130,118.3,11.68,Combined Authority
SP-0023,LA003,Leicester City Council,East Midlands,2022,Flood & Drainage,21906576,20913200,-993376,95.5,56.74,Central Government Grant
SP-0024,LA003,Leicester City Council,East Midlands,2019,Flood & Drainage,38854321,34073200,-4781121,87.7,92.44,Levelling Up Fund
SP-0025,LA003,Leicester City Council,East Midlands,2023,Parks & Green Spaces,18296947,17715400,-581547,96.8,48.06,Central Government Grant
SP-0026,LA003,Leicester City Council,East Midlands,2020,Waste Management,4413639,4354800,-58839,98.7,11.82,City Deal
SP-0027,LA003,Leicester City Council,East Midlands,2020,Digital Infrastructure,20651705,23379400,2727695,113.2,63.43,Central Government Grant
SP-0028,LA003,Leicester City Council,East Midlands,2019,Energy & Utilities,25012132,30756800,5744668,123,83.45,Combined Authority
SP-0029,LA004,Northampton Borough Council,East Midlands,2020,Roads & Transport,24105706,18840100,-5265606,78.2,83.51,Mixed Funding
SP-0030,LA004,Northampton Borough Council,East Midlands,2023,Roads & Transport,32432475,32571800,139325,100.4,144.38,EU Structural Funds
SP-0031,LA004,Northampton Borough Council,East Midlands,2019,Housing & Planning,1050490,1061800,11310,101.1,4.71,Levelling Up Fund
SP-0032,LA004,Northampton Borough Council,East Midlands,2020,Flood & Drainage,15666937,10772600,-4894337,68.8,47.75,EU Structural Funds
SP-0033,LA004,Northampton Borough Council,East Midlands,2023,Parks & Green Spaces,23175518,19693000,-3482518,85,87.29,EU Structural Funds
SP-0034,LA004,Northampton Borough Council,East Midlands,2019,Waste Management,19074332,17765900,-1308432,93.1,78.75,Levelling Up Fund
SP-0035,LA004,Northampton Borough Council,East Midlands,2022,Waste Management,30112712,39726400,9613688,131.9,176.09,Combined Authority
SP-0036,LA004,Northampton Borough Council,East Midlands,2022,Digital Infrastructure,8658703,10502600,1843897,121.3,46.55,Mixed Funding
SP-0037,LA004,Northampton Borough Council,East Midlands,2019,Energy & Utilities,18999499,13279000,-5720499,69.9,58.86,EU Structural Funds
SP-0038,LA004,Northampton Borough Council,East Midlands,2020,Energy & Utilities,39590803,49834300,10243497,125.9,220.9,Local Authority Budget
SP-0049,LA006,Lincoln City Council,East Midlands,2023,Roads & Transport,14454521,16610700,2156179,114.9,166.44,City Deal
SP-0050,LA006,Lincoln City Council,East Midlands,2020,Roads & Transport,8622197,10139703.67,1517506.67,117.6,101.64,Combined Authority
SP-0051,LA006,Lincoln City Council,East Midlands,2021,Housing & Planning,36312436,40549100,4236664,111.7,406.3,Private Finance Initiative
SP-0052,LA006,Lincoln City Council,East Midlands,2019,Flood & Drainage,20357506,18900500,-1457006,92.8,189.38,Combined Authority
SP-0053,LA006,Lincoln City Council,East Midlands,2023,Flood & Drainage,13383418,12021800,-1361618,89.8,120.46,Levelling Up Fund
SP-0054,LA006,Lincoln City Council,East Midlands,2020,Parks & Green Spaces,30011391,31190300,1178909,103.9,312.53,Combined Authority
SP-0055,LA006,Lincoln City Council,East Midlands,2023,Parks & Green Spaces,21691123,17492600,-4198523,80.6,175.28,Central Government Grant
SP-0056,LA006,Lincoln City Council,East Midlands,2019,Waste Management,5155016,6868800,1713784,133.2,68.83,Levelling Up Fund
SP-0057,LA006,Lincoln City Council,East Midlands,2023,Waste Management,25276283,27628700,2352417,109.3,276.84,EU Structural Funds
SP-0058,LA006,Lincoln City Council,East Midlands,2020,Digital Infrastructure,32667607,42464300,9796693,130,425.49,City Deal
SP-0059,LA006,Lincoln City Council,East Midlands,2019,Digital Infrastructure,18180189,18496400,316211,101.7,185.33,Central Government Grant
SP-0060,LA006,Lincoln City Council,East Midlands,2019,Energy & Utilities,5829780,7619100,1789320,130.7,76.34,Local Authority Budget
SP-0061,LA006,Lincoln City Council,East Midlands,2023,Energy & Utilities,2128146,1643900,-484246,77.2,16.47,EU Structural Funds
SP-0099,LA011,Blaby District Council,East Midlands,2023,Roads & Transport,25053321,30739000,5685679,122.7,312.07,Mixed Funding
SP-0100,LA011,Blaby District Council,East Midlands,2022,Housing & Planning,13374832,13306300,-68532,99.5,135.09,EU Structural Funds
SP-0101,LA011,Blaby District Council,East Midlands,2020,Flood & Drainage,27537046,35678200,8141154,129.6,362.22,Private Finance Initiative
SP-0102,LA011,Blaby District Council,East Midlands,2019,Parks & Green Spaces,25191701,18785100,-6406601,74.6,190.71,Combined Authority
SP-0103,LA011,Blaby District Council,East Midlands,2022,Waste Management,30202059,40757700,10555641,134.9,413.78,City Deal
SP-0104,LA011,Blaby District Council,East Midlands,2021,Digital Infrastructure,30688686,39916400,9227714,130.1,405.24,Mixed Funding
SP-0105,LA011,Blaby District Council,East Midlands,2021,Energy & Utilities,39832455,51454300,11621845,129.2,522.38,Local Authority Budget
SP-0122,LA014,Newark and Sherwood District Council,East Midlands,2020,Roads & Transport,13502239,9281700,-4220539,68.7,77.09,EU Structural Funds
SP-0123,LA014,Newark and Sherwood District Council,East Midlands,2019,Housing & Planning,25098370,20017000,-5081370,79.8,166.25,Central Government Grant
SP-0124,LA014,Newark and Sherwood District Council,East Midlands,2020,Flood & Drainage,6194111,5609800,-584311,90.6,46.59,Central Government Grant
SP-0125,LA014,Newark and Sherwood District Council,East Midlands,2020,Parks & Green Spaces,3509297,4606700,1097403,131.3,38.26,Local Authority Budget
SP-0126,LA014,Newark and Sherwood District Council,East Midlands,2021,Waste Management,33617426,22292500,-11324926,66.3,185.15,Mixed Funding
SP-0127,LA014,Newark and Sherwood District Council,East Midlands,2019,Digital Infrastructure,31000841,35119900,4119059,113.3,291.69,Private Finance Initiative
SP-0128,LA014,Newark and Sherwood District Council,East Midlands,2020,Digital Infrastructure,27073570,31771700,4698130,117.4,263.88,Local Authority Budget
SP-0129,LA014,Newark and Sherwood District Council,East Midlands,2021,Energy & Utilities,39674377,48330400,8656023,121.8,401.42,Combined Authority
SP-0143,LA016,Gedling Borough Council,East Midlands,2019,Roads & Transport,4412464,5809700,1397236,131.7,49.03,City Deal
SP-0144,LA016,Gedling Borough Council,East Midlands,2020,Housing & Planning,26807004,34795491.19,7988487.19,129.8,293.53,Local Authority Budget
SP-0145,LA016,Gedling Borough Council,East Midlands,2022,Flood & Drainage,44368876,58731600,14362724,132.4,495.63,Levelling Up Fund
SP-0146,LA016,Gedling Borough Council,East Midlands,2020,Parks & Green Spaces,18901734,20100600,1198866,106.3,169.63,EU Structural Funds
SP-0147,LA016,Gedling Borough Council,East Midlands,2019,Parks & Green Spaces,5992598,5692900,-299698,95,48.04,Private Finance Initiative
SP-0148,LA016,Gedling Borough Council,East Midlands,2020,Waste Management,9401596,7975400,-1426196,84.8,67.3,EU Structural Funds
SP-0149,LA016,Gedling Borough Council,East Midlands,2019,Digital Infrastructure,5675361,5207300,-468061,91.8,43.94,Private Finance Initiative
SP-0150,LA016,Gedling Borough Council,East Midlands,2021,Digital Infrastructure,7880076,6995000,-885076,88.8,59.03,City Deal
SP-0151,LA016,Gedling Borough Council,East Midlands,2022,Energy & Utilities,10487424,7188500,-3298924,68.5,60.66,Central Government Grant
SP-0201,LA023,Thurrock Council,East of England,2021,Roads & Transport,7797957,8262700,464743,106,48.04,Combined Authority
SP-0202,LA023,Thurrock Council,East of England,2021,Housing & Planning,13700965,18069200,4368235,131.9,105.05,EU Structural Funds
SP-0203,LA023,Thurrock Council,East of England,2023,Flood & Drainage,8931005,8946500,15495,100.2,52.01,Central Government Grant
SP-0204,LA023,Thurrock Council,East of England,2022,Parks & Green Spaces,2647280,2027600,-619680,76.6,11.79,Mixed Funding
SP-0205,LA023,Thurrock Council,East of England,2020,Waste Management,5890641,5054700,-835941,85.8,29.39,City Deal
SP-0206,LA023,Thurrock Council,East of England,2020,Digital Infrastructure,29412506,29845100,432594,101.5,173.52,Private Finance Initiative
SP-0207,LA023,Thurrock Council,East of England,2021,Energy & Utilities,41001706,32678900,-8322806,79.7,189.99,EU Structural Funds
SP-0208,LA024,Chelmsford City Council,East of England,2019,Roads & Transport,22529738,22675500,145762,100.6,125.77,EU Structural Funds
SP-0209,LA024,Chelmsford City Council,East of England,2020,Housing & Planning,4546587,3425700,-1120887,75.3,19,Mixed Funding
SP-0210,LA024,Chelmsford City Council,East of England,2022,Flood & Drainage,44006988,44724500,717512,101.6,248.06,EU Structural Funds
SP-0211,LA024,Chelmsford City Council,East of England,2020,Parks & Green Spaces,13104401,9896600,-3207801,75.5,54.89,Private Finance Initiative
SP-0212,LA024,Chelmsford City Council,East of England,2023,Waste Management,26230138,28761300,2531162,109.6,159.52,Local Authority Budget
SP-0213,LA024,Chelmsford City Council,East of England,2019,Digital Infrastructure,29465125,27317500,-2147625,92.7,151.51,Local Authority Budget
SP-0214,LA024,Chelmsford City Council,East of England,2023,Energy & Utilities,6845445,5712500,-1132945,83.4,31.68,EU Structural Funds
SP-0215,LA024,Chelmsford City Council,East of England,2021,Energy & Utilities,5547314,4919200,-628114,88.7,27.28,Local Authority Budget
SP-0224,LA026,Braintree District Council,East of England,2021,Roads & Transport,38921581,46541000,7619419,119.6,296.82,Mixed Funding
SP-0225,LA026,Braintree District Council,East of England,2023,Housing & Planning,18839995,23015900,4175905,122.2,146.79,Private Finance Initiative
SP-0226,LA026,Braintree District Council,East of England,2020,Flood & Drainage,11179179,10517300,-661879,94.1,67.07,Local Authority Budget
SP-0227,LA026,Braintree District Council,East of England,2021,Parks & Green Spaces,25743207,17831600,-7911607,69.3,113.72,Local Authority Budget
SP-0228,LA026,Braintree District Council,East of England,2023,Parks & Green Spaces,13832431,9890900,-3941531,71.5,63.08,Private Finance Initiative
SP-0229,LA026,Braintree District Council,East of England,2021,Waste Management,989730,1138800,149070,115.1,7.26,Local Authority Budget
SP-0230,LA026,Braintree District Council,East of England,2020,Digital Infrastructure,11587874,10546200,-1041674,91,67.26,EU Structural Funds
SP-0231,LA026,Braintree District Council,East of England,2021,Energy & Utilities,18468192,21136000,2667808,114.4,134.8,City Deal
SP-0258,LA030,Watford Borough Council,East of England,2022,Roads & Transport,32450584,42910400,10459816,132.2,443.29,City Deal
SP-0259,LA030,Watford Borough Council,East of England,2019,Housing & Planning,30973341,27057500,-3915841,87.4,279.52,Combined Authority
SP-0260,LA030,Watford Borough Council,East of England,2021,Flood & Drainage,33249935,44091200,10841265,132.6,455.49,Levelling Up Fund
SP-0261,LA030,Watford Borough Council,East of England,2020,Flood & Drainage,5622052,4718500,-903552,83.9,48.74,Private Finance Initiative
SP-0262,LA030,Watford Borough Council,East of England,2023,Parks & Green Spaces,44293319,48825200,4531881,110.2,504.39,Combined Authority
SP-0263,LA030,Watford Borough Council,East of England,2022,Waste Management,29982585,36940600,6958015,123.2,381.62,Levelling Up Fund
SP-0264,LA030,Watford Borough Council,East of England,2022,Digital Infrastructure,7001966,6038200,-963766,86.2,62.38,Combined Authority
SP-0265,LA030,Watford Borough Council,East of England,2020,Energy & Utilities,22592970,16976400,-5616570,75.1,175.38,City Deal
SP-0275,LA032,Hertsmere Borough Council,East of England,2023,Roads & Transport,37752362,39965400,2213038,105.9,378.82,Combined Authority
SP-0276,LA032,Hertsmere Borough Council,East of England,2019,Housing & Planning,5445144,5492100,46956,100.9,52.06,Combined Authority
SP-0277,LA032,Hertsmere Borough Council,East of England,2020,Flood & Drainage,29933956,22393600,-7540356,74.8,212.26,Mixed Funding
SP-0278,LA032,Hertsmere Borough Council,East of England,2021,Flood & Drainage,34672420,24817100,-9855320,71.6,235.23,Levelling Up Fund
SP-0279,LA032,Hertsmere Borough Council,East of England,2019,Parks & Green Spaces,41882448,53781100,11898652,128.4,509.77,Levelling Up Fund
SP-0280,LA032,Hertsmere Borough Council,East of England,2020,Waste Management,12424622,11314400,-1110222,91.1,107.25,Levelling Up Fund
SP-0281,LA032,Hertsmere Borough Council,East of England,2020,Digital Infrastructure,3235081,3182100,-52981,98.4,30.16,Combined Authority
SP-0282,LA032,Hertsmere Borough Council,East of England,2019,Energy & Utilities,4335939,4449800,113861,102.6,42.18,City Deal
SP-0301,LA035,London Borough of Hackney,London,2023,Roads & Transport,16119927,20637600,4517673,128,73.34,Central Government Grant
SP-0302,LA035,London Borough of Hackney,London,2020,Housing & Planning,22157388,28822800,6665412,130.1,102.43,City Deal
SP-0303,LA035,London Borough of Hackney,London,2020,Flood & Drainage,886561,926400,39839,104.5,3.29,Central Government Grant
SP-0304,LA035,London Borough of Hackney,London,2022,Parks & Green Spaces,1983863,1907000,-76863,96.1,6.78,Local Authority Budget
SP-0305,LA035,London Borough of Hackney,London,2023,Waste Management,9681338,11635600,1954262,120.2,41.35,Combined Authority
SP-0306,LA035,London Borough of Hackney,London,2019,Digital Infrastructure,21143617,16474200,-4669417,77.9,58.54,Levelling Up Fund
SP-0307,LA035,London Borough of Hackney,London,2023,Digital Infrastructure,8521027,8886400,365373,104.3,31.58,EU Structural Funds
SP-0308,LA035,London Borough of Hackney,London,2019,Energy & Utilities,23627621,28169900,4542279,119.2,100.11,Private Finance Initiative
SP-0353,LA041,London Borough of Lewisham,London,2023,Roads & Transport,7791040,5728200,-2062840,73.5,18.85,Private Finance Initiative
SP-0354,LA041,London Borough of Lewisham,London,2019,Housing & Planning,43082013,34361300,-8720713,79.8,113.07,Mixed Funding
SP-0355,LA041,London Borough of Lewisham,London,2022,Flood & Drainage,37568052,40664000,3095948,108.2,133.81,Mixed Funding
SP-0356,LA041,London Borough of Lewisham,London,2020,Parks & Green Spaces,7369865,9867300,2497435,133.9,32.47,Combined Authority
SP-0357,LA041,London Borough of Lewisham,London,2020,Waste Management,31470056,30994200,-475856,98.5,101.99,Combined Authority
SP-0358,LA041,London Borough of Lewisham,London,2020,Digital Infrastructure,26291881,27051900,760019,102.9,89.02,Private Finance Initiative
SP-0359,LA041,London Borough of Lewisham,London,2023,Energy & Utilities,28999117,29823800,824683,102.8,98.14,Mixed Funding
SP-0360,LA042,London Borough of Greenwich,London,2020,Roads & Transport,12112658,13072600,959942,107.9,44.94,Local Authority Budget
SP-0361,LA042,London Borough of Greenwich,London,2019,Housing & Planning,18020404,15746800,-2273604,87.4,54.13,EU Structural Funds
SP-0362,LA042,London Borough of Greenwich,London,2023,Housing & Planning,17962427,15275300,-2687127,85,52.51,City Deal
SP-0363,LA042,London Borough of Greenwich,London,2019,Flood & Drainage,42673698,31962000,-10711698,74.9,109.87,Levelling Up Fund
SP-0364,LA042,London Borough of Greenwich,London,2020,Parks & Green Spaces,15835545,13214200,-2621345,83.4,45.43,Central Government Grant
SP-0365,LA042,London Borough of Greenwich,London,2022,Waste Management,14046284,14899500,853216,106.1,51.22,Local Authority Budget
SP-0366,LA042,London Borough of Greenwich,London,2019,Digital Infrastructure,38603389,32455000,-6148389,84.1,111.57,Private Finance Initiative
SP-0367,LA042,London Borough of Greenwich,London,2020,Energy & Utilities,27960048,26093900,-1866148,93.3,89.7,Combined Authority
SP-0368,LA042,London Borough of Greenwich,London,2023,Energy & Utilities,27779140,19489300,-8289840,70.2,67,Local Authority Budget
SP-0396,LA046,Royal Borough of Kingston upon Thames,London,2021,ROADS & TRANSPORT,40250420,40032700,-217720,99.5,227.72,Local Authority Budget
SP-0397,LA046,Royal Borough of Kingston upon Thames,London,2020,Housing & Planning,20212760,25534300,5321540,126.3,145.25,Levelling Up Fund
SP-0398,LA046,Royal Borough of Kingston upon Thames,London,2019,Flood & Drainage,35042378,30889600,-4152778,88.1,175.71,Combined Authority
SP-0403,LA046,Royal Borough of Kingston upon Thames,London,2022,Waste Management,23027551,30908400,7880849,134.2,175.82,Local Authority Budget
SP-0399,LA046,Royal Borough of Kingston upon Thames,London,2020,Flood & Drainage,32213162,37248600,5035438,115.6,211.88,Combined Authority
SP-0400,LA046,Royal Borough of Kingston upon Thames,London,2021,Parks & Green Spaces,28100894,29220600,1119706,104,166.22,Levelling Up Fund
SP-0401,LA046,Royal Borough of Kingston upon Thames,London,2022,Parks & Green Spaces,40564177,51665000,11100823,127.4,293.89,EU Structural Funds
SP-0402,LA046,Royal Borough of Kingston upon Thames,London,2021,Waste Management,44322297,51295600,6973303,115.7,291.78,Combined Authority
SP-0404,LA046,Royal Borough of Kingston upon Thames,London,2019,Digital Infrastructure,11829896,8421200,-3408696,71.2,47.9,Levelling Up Fund
SP-0405,LA046,Royal Borough of Kingston upon Thames,London,2022,Energy & Utilities,3946432,4074800,128368,103.3,23.18,Mixed Funding
SP-0459,LA053,North Tyneside Metropolitan Borough Council,North East,2023,Roads & Transport,37733877,47904600,10170723,127,229.43,Private Finance Initiative
SP-0460,LA053,North Tyneside Metropolitan Borough Council,North East,2023,Housing & Planning,26567991,17985300,-8582691,67.7,86.14,City Deal
SP-0461,LA053,North Tyneside Metropolitan Borough Council,North East,2020,Housing & Planning,3574872,4106400,531528,114.9,19.67,Private Finance Initiative
SP-0462,LA053,North Tyneside Metropolitan Borough Council,North East,2019,Flood & Drainage,36989421,33577500,-3411921,90.8,160.81,Combined Authority
SP-0463,LA053,North Tyneside Metropolitan Borough Council,North East,2023,Flood & Drainage,30459512,25433300,-5026212,83.5,121.81,Levelling Up Fund
SP-0464,LA053,North Tyneside Metropolitan Borough Council,North East,2021,Parks & Green Spaces,43891252,49736200,5844948,113.3,238.2,Central Government Grant
SP-0465,LA053,North Tyneside Metropolitan Borough Council,North East,2019,Waste Management,24291058,22077500,-2213558,90.9,105.74,Mixed Funding
SP-0466,LA053,North Tyneside Metropolitan Borough Council,North East,2022,Digital Infrastructure,26629010,26961400,332390,101.2,129.13,Mixed Funding
SP-0467,LA053,North Tyneside Metropolitan Borough Council,North East,2023,Energy & Utilities,31253191,37477100,6223909,119.9,179.49,Local Authority Budget
SP-0468,LA053,North Tyneside Metropolitan Borough Council,North East,2022,Energy & Utilities,42894374,51490300,8595926,120,246.6,Central Government Grant
SP-0469,LA054,Middlesbrough Council,North East,2022,Roads & Transport,10485243,10349100,-136143,98.7,73.4,Local Authority Budget
SP-0470,LA054,Middlesbrough Council,North East,2021,Roads & Transport,21415950,18990000,-2425950,88.7,134.68,Central Government Grant
SP-0471,LA054,Middlesbrough Council,North East,2020,Housing & Planning,22277132,21755400,-521732,97.7,154.29,Private Finance Initiative
SP-0472,LA054,Middlesbrough Council,North East,2019,Flood & Drainage,30087018,23395900,-6691118,77.8,165.93,Combined Authority
SP-0473,LA054,Middlesbrough Council,North East,2021,Parks & Green Spaces,37530816,31068600,-6462216,82.8,220.34,City Deal
SP-0474,LA054,Middlesbrough Council,North East,2019,Parks & Green Spaces,9839990,7394300,-2445690,75.1,52.44,Combined Authority
SP-0475,LA054,Middlesbrough Council,North East,2021,Waste Management,21279232,17053400,-4225832,80.1,120.95,Private Finance Initiative
SP-0476,LA054,Middlesbrough Council,North East,2020,Waste Management,14859946,18831900,3971954,126.7,133.56,EU Structural Funds
SP-0477,LA054,Middlesbrough Council,North East,2023,Digital Infrastructure,33315706,36361600,3045894,109.1,257.88,Combined Authority
SP-0478,LA054,Middlesbrough Council,North East,2020,Digital Infrastructure,40377821,52065800,11687979,128.9,369.26,Mixed Funding
SP-0479,LA054,Middlesbrough Council,North East,2019,Energy & Utilities,9526903,10340500,813597,108.5,73.34,Levelling Up Fund
SP-0487,LA056,Stockton-on-Tees Borough Council,North East,2021,Roads & Transport,8467363,11261900,2794537,133,57.31,EU Structural Funds
SP-0488,LA056,Stockton-on-Tees Borough Council,North East,2021,Housing & Planning,40035935,46530000,6494065,116.2,236.79,Levelling Up Fund
SP-0489,LA056,Stockton-on-Tees Borough Council,North East,2020,Flood & Drainage,3668846,3242500,-426346,88.4,16.5,Private Finance Initiative
SP-0490,LA056,Stockton-on-Tees Borough Council,North East,2020,Parks & Green Spaces,21067044,14345700,-6721344,68.1,73.01,Central Government Grant
SP-0491,LA056,Stockton-on-Tees Borough Council,North East,2022,Waste Management,12377508,8556900,-3820608,69.1,43.55,Private Finance Initiative
SP-0492,LA056,Stockton-on-Tees Borough Council,North East,2021,Digital Infrastructure,37075213,40532800,3457587,109.3,206.27,Central Government Grant
SP-0493,LA056,Stockton-on-Tees Borough Council,North East,2021,Energy & Utilities,3941959,4053300,111341,102.8,20.63,Mixed Funding
SP-0583,LA067,Tameside Metropolitan Borough Council,North West,2023,Roads & Transport,4005862,4108200,102338,102.6,18.2,City Deal
SP-0584,LA067,Tameside Metropolitan Borough Council,North West,2019,Roads & Transport,2438407,2750000,311593,112.8,12.18,Local Authority Budget
SP-0585,LA067,Tameside Metropolitan Borough Council,North West,2023,Housing & Planning,13666599,9403200,-4263399,68.8,41.66,City Deal
SP-0586,LA067,Tameside Metropolitan Borough Council,North West,2019,Flood & Drainage,11024334,12563200,1538866,114,55.66,Mixed Funding
SP-0587,LA067,Tameside Metropolitan Borough Council,North West,2021,Flood & Drainage,26459636,31537200,5077564,119.2,139.73,Private Finance Initiative
SP-0588,LA067,Tameside Metropolitan Borough Council,North West,2020,Parks & Green Spaces,41553162,28619600,-12933562,68.9,126.8,EU Structural Funds
